"","senator_companies","senator_ownership","match_id","ppp_borrowers","ppp_data_slice_file"
"77","EBENEZER BAPTIST CHURCH","Raphael Warnock",292292,"EBENEZER BAPTIST CHURCH","file_a"
"78","FIRST BAPTIST CHURCH","james p lankford",41165,"FIRST BAPTIST CHURCH","file_a"
"79","TRINITY BAPTIST CHURCH","james p lankford",126768,"TRINITY BAPTIST CHURCH","file_a"
"80","MAINSTREET","william f hagerty, iv",373381,"MAINSTREET MINISTRIES","file_a"
"81","RIVERNORTH","john n kennedy",244981,"RIVERNORTH KINDERGARTEN","file_a"
"82","GREENWAVE","john n kennedy",365875,"GREENWAVE ADVISORS, LLC","file_a"
"83","ALCHEMY","rand paul",461995,"ALCHEMY","file_a"
"84","EMERALD GROUP","jeanne shaheen",356390,"EMERALD GROUP HOLDINGS, LLC","file_a"
"85","NOVITA","mike rounds",39251,"NOVITA HOME FURNISHINGS INC","file_a"
"86","AA PROPERTY","joseph manchin, iii",429045,"AA PROPERTY SALES LLC","file_a"
"87","EBENEZER BAPTIST CHURCH","Raphael Warnock",237400,"EBENEZER BAPTIST CHURCH I","file_a"
"88","GATEWAY COMMUNITY CHURCH","james p lankford",421023,"GATEWAY COMMUNITY CHURCH","file_a"
"89","FIRST BAPTIST CHURCH","james p lankford",71885,"FIRST BAPTIST CHURCH","file_a"
"90","TRINITY BAPTIST CHURCH","james p lankford",77390,"TRINITY BAPTIST CHURCH","file_a"
"91","DOYON","daniel s sullivan",452190,"DOYON MANAGEMENT","file_a"
"92","PHARMACA","rick scott",46793,"PHARMACADENCE ANALYTICAL SERVICES LLC","file_a"
"93","SYMCO","sheldon whitehouse",440827,"SYMCO, INC.","file_a"
"94","TRELA","jeanne shaheen",481040,"TRELACSHA SPILLERS","file_a"
"95","AERONICS","mike rounds",118595,"AERONICS INC","file_a"
"96","ROSEN FAMILY","jacklyn s rosen",76055,"ROSEN FAMILY LAW GROUP LLC","file_a"
"97","EBENEZER BAPTIST CHURCH","Raphael Warnock",190657,"EBENEZER BAPTIST CHURCH","file_a"
"98","MAIN STREET MANAGEMENT","William F Hagerty, IV",90947,"MAIN STREET MANAGEMENT, LLC","file_a"
"99","FINISHING TOUCHES","mike braun",428569,"FINISHING TOUCHES","file_a"
"100","GATEWAY COMMUNITY CHURCH","james p lankford",185903,"GATEWAY COMMUNITY CHURCH","file_a"
"101","FIRST BAPTIST CHURCH","james p lankford",242000,"FIRST BAPTIST CHURCH","file_a"
"102","TRINITY BAPTIST CHURCH","james p lankford",458539,"TRINITY BAPTIST CHURCH","file_a"
"103","PHARMACA","rick scott",462271,"PHARMACAP LABS LLC","file_a"
"104","GREENWAVE","john n kennedy",61555,"GREENWAVE FOODS INC","file_a"
"105","CARONA","rand paul",404149,"CARONARDA BENBOW","file_a"
"106","THE SALON","jeanne shaheen",236926,"THE SALON","file_a"
"107","TRELA","jeanne shaheen",320930,"TRELAN MCCRAY","file_a"
"108","AA PROPERTY","joseph manchin, iii",436975,"AA PROPERTY CONSULTANTS, LLC","file_a"
"109","SCHATZ","brian e schatz",133916,"SCHATZ INC.","file_a"
"110","FIRST BAPTIST CHURCH","james p lankford",17219,"FIRST BAPTIST CHURCH","file_a"
"111","TRINITY BAPTIST CHURCH","james p lankford",67565,"TRINITY BAPTIST CHURCH","file_a"
"112","PHARMACA","rick scott",183632,"PHARMACARE USA LLC","file_a"
"113","SYMCO","sheldon whitehouse",268953,"SYMCO LLC","file_a"
"114","THE SALON","jeanne shaheen",162169,"THE SALON","file_a"
"115","LEVEQUE","ron l wyden",257866,"LEVEQUE/OVENA AND ASSOCIATES","file_a"
"116","TIGER FARMS","thomas h tuberville",460518,"TIGER FARMS LLC","file_a"
"117","EBENEZER BAPTIST CHURCH","Raphael Warnock",51984,"EBENEZER BAPTIST CHURCH","file_a"
"118","KENNEDY CENTER","Mark R Warner",333202,"KENNEDY CENTER MINI STORAGE, LLC","file_a"
"119","GATEWAY COMMUNITY CHURCH","james p lankford",3769,"GATEWAY COMMUNITY CHURCH","file_a"
"120","FIRST BAPTIST CHURCH","james p lankford",5154,"FIRST BAPTIST CHURCH","file_a"
"121","TRINITY BAPTIST CHURCH","james p lankford",8173,"TRINITY BAPTIST CHURCH","file_a"
"122","NOKOMIS","rick scott",330784,"NOKOMIS QUARRY COMPANY","file_a"
"123","TCHOUPITOULAS","john n kennedy",304189,"TCHOUPITOULAS LLC","file_a"
"124","CHANDLER REAL ESTATE","rand paul",382238,"CHANDLER REAL ESTATE, INC","file_a"
"125","PEAVLER","robert j portman",330246,"PEAVLER CORP","file_a"
"126","NOVITA","mike rounds",139826,"NOVITA","file_a"
"127","NEW GEORGIA","Raphael Warnock",272748,"NEW GEORGIA PROJECT INC.","file_a"
"128","MARTIN LUTHER KING","Raphael Warnock",424565,"MARTIN LUTHER KING JR. FAMILY SERVICES, INC.","file_a"
"129","EBENEZER BAPTIST CHURCH","Raphael Warnock",287029,"EBENEZER BAPTIST CHURCH OF ATLANTA, GEORGIA, INC.","file_a"
"130","KELLY AEROSPACE","Mark E Kelly",5009,"KELLY AEROSPACE ENERGY SYSTEMS LLC","file_a"
"131","GENESIS PARTNERS","Steve Daines",14149,"GENESIS PARTNERS LLC","file_a"
"132","MT. ENNON BAPTIST CHURCH","raphael warnock",431102,"MT. ENNON BAPTIST CHURCH","file_a"
"133","ST THOMAS MORE PARISH","patrick j toomey",133684,"ST THOMAS MORE PARISH","file_a"
"134","MATHIS FARMS","cindy hyde-smith",223079,"MATHIS FARMS INC","file_a"
"135","FIRST BAPTIST CHURCH","james p lankford",5723,"FIRST BAPTIST CHURCH","file_a"
"136","VISION TO LEARN","roger f wicker",50159,"VISION TO LEARN","file_a"
