"","senator_companies","senator_ownership","match_id","ppp_borrowers","ppp_data_slice_file"
"1","DOYON","daniel s sullivan",2157,"DOYON REMOTE FACILITIES & SERVICES LLC","file_a"
"2","PHARMACA","rick scott",101126,"PHARMACARE MEDICATION CONSULTANTS, INC.","file_a"
"3","GREENWAVE","john n kennedy",121653,"GREENWAVE CONSTRUCTION","file_a"
"4","CHANDLER REAL ESTATE","rand paul",319514,"CHANDLER REAL ESTATE TRAINING CENTER, LLC","file_a"
"5","SYMCO","sheldon whitehouse",450475,"SYMCO SCOTT'S INCORPORATED","file_a"
"6","THE SALON","jeanne shaheen",123286,"THE SALON","file_a"
"7","FITZ FRAMES","ron l wyden",497479,"FITZ FRAMES, INC","file_a"
"8","ROCK HOSPITALITY","robert j portman",194198,"ROCK HOSPITALITY INC","file_a"
"9","BIRD DOG","mike rounds",436922,"BIRD DOG MANAGEMENT GROUP, LLC","file_a"
"10","EBENEZER BAPTIST CHURCH","Raphael Warnock",44212,"EBENEZER BAPTIST CHURCH","file_a"
"11","PROMISE KEEPERS","James P Lankford",248796,"PROMISE KEEPERS PLUMBING, LLC","file_a"
"12","EBENEZER BAPTIST CHURCH","raphael warnock",108334,"EBENEZER BAPTIST CHURCH","file_a"
"13","FIRST BAPTIST CHURCH","james p lankford",14002,"FIRST BAPTIST CHURCH","file_a"
"14","TRINITY BAPTIST CHURCH","james p lankford",487110,"TRINITY BAPTIST CHURCH","file_a"
"15","MAINSTREET","william f hagerty, iv",97078,"MAINSTREET CONSTRUCTION LLC","file_a"
"16","PATRIOT FINANCIAL","patrick j toomey",243577,"PATRIOT FINANCIAL SERVICES INC.","file_a"
"17","TAB PROD","sheldon whitehouse",400577,"TAB PRODUCTIONS","file_a"
"18","THE SALON","jeanne shaheen",396868,"THE SALON","file_a"
"19","STRAND","ron l wyden",478031,"STRAND","file_a"
"20","BIRD DOG","mike rounds",251944,"BIRD DOG REALTY","file_a"
"21","PACUR","ron johnson",195221,"PACURAK MANAGEMENT LLC","file_a"
"22","FIRST BAPTIST CHURCH","james p lankford",144731,"FIRST BAPTIST CHURCH","file_a"
"23","TRINITY BAPTIST CHURCH","james p lankford",298882,"TRINITY BAPTIST CHURCH OF INDIO, CALIFORNIA","file_a"
"24","ROYAL POINCIANA","rick scott",188260,"ROYAL POINCIANA CONDOMINIUM ASSOCIATION INC","file_a"
"25","PHARMACA","rick scott",195097,"PHARMACARE INC","file_a"
"26","CONSTRUCTION PARTNERS","mark r warner",137409,"CONSTRUCTION PARTNERS LLC","file_a"
"27","MARTIN LUTHER KING","Raphael Warnock",266175,"MARTIN LUTHER KING ECONOMIC DEVELOPMENT","file_a"
"28","FIRST BAPTIST CHURCH","james p lankford",75833,"FIRST BAPTIST CHURCH","file_a"
"29","TRINITY BAPTIST CHURCH","james p lankford",125558,"TRINITY BAPTIST CHURCH OF KEYSTONE HEIGHTS INC","file_a"
"30","RED SKY","rick scott",12233,"RED SKY LOGISTICS, INC.","file_a"
"31","PHARMACA","rick scott",158417,"PHARMACARE OF GEORGIA, INC.","file_a"
"32","PATRIOT FINANCIAL","patrick j toomey",49545,"PATRIOT FINANCIAL SERVICES, LLC","file_a"
"33","ROUNDTABLE","mike rounds",207559,"ROUNDTABLE FORUM LLC","file_a"
"34","MARTIN LUTHER KING","Raphael Warnock",221710,"MARTIN LUTHER KING SR. COMMUNITY RESOURCES COLLABORATIVE","file_a"
"35","EBENEZER BAPTIST CHURCH","Raphael Warnock",160332,"EBENEZER BAPTIST CHURCH WEST INC","file_a"
"36","SCHATZ","brian e schatz",39647,"SCHATZI C. LLC","file_a"
"37","FINISHING TOUCHES","mike braun",263898,"FINISHING TOUCHES DISPLAYS","file_a"
"38","TUCKER & TUCKER","todd young",458249,"TUCKER & TUCKER REALTY COMPANY","file_a"
"39","FIRST BAPTIST CHURCH","james p lankford",179905,"FIRST BAPTIST CHURCH","file_a"
"40","TRINITY BAPTIST CHURCH","james p lankford",474118,"TRINITY BAPTIST CHURCH","file_a"
"41","THE SALON","jeanne shaheen",75655,"THE SALON LTD.","file_a"
"42","GENESIS PARTNERS","Steve Daines",277635,"GENESIS PARTNERS","file_a"
"43","FINISHING TOUCHES","mike braun",494326,"FINISHING TOUCHES","file_a"
"44","MATHIS FARMS","cindy hyde-smith",103229,"MATHIS FARMS","file_a"
"45","FIRST BAPTIST CHURCH","james p lankford",37309,"FIRST BAPTIST CHURCH","file_a"
"46","PARK GROUP","mark r warner",102128,"PARK GROUP CONSTRUCTION, LLC","file_a"
"47","PATRIOT FINANCIAL","patrick j toomey",328705,"PATRIOT FINANCIAL CORPORATION","file_a"
"48","TCHOUPITOULAS","john n kennedy",295420,"TCHOUPITOULAS BARATHON L3C","file_a"
"49","LEVEQUE","ron l wyden",394748,"LEVEQUE TRANSPORTATION","file_a"
"50","NOVITA","mike rounds",463770,"NOVITA SALON LLC","file_a"
"51","MARTIN LUTHER KING","Raphael Warnock",100075,"MARTIN LUTHER KING HEALTH CENTER","file_a"
"52","EBENEZER BAPTIST CHURCH","Raphael Warnock",408070,"EBENEZER BAPTIST CHURCH","file_a"
"53","HAGERTY CONSULTING","William F Hagerty, IV",36469,"HAGERTY CONSULTING LLC","file_a"
"54","FINISHING TOUCHES","mike braun",464025,"FINISHING TOUCHES","file_a"
"55","MATHIS FARMS","cindy hyde-smith",15127,"MATHIS FARMS CUSTOM HIRE LLC","file_a"
"56","FIRST BAPTIST CHURCH","james p lankford",3705,"FIRST BAPTIST CHURCH","file_a"
"57","TRINITY BAPTIST CHURCH","james p lankford",131177,"TRINITY BAPTIST CHURCH","file_a"
"58","RED SKY","rick scott",475387,"RED SKYLINE CLEANING SERVICES LLC","file_a"
"59","GREENWAVE","john n kennedy",120616,"GREENWAVES DAIRY LLC","file_a"
"60","ALCHEMY","rand paul",69511,"ALCHEMY","file_a"
"61","SYMCO","sheldon whitehouse",58032,"SYMCO CONSTRUCTION LLC","file_a"
"62","THE SALON","jeanne shaheen",282148,"THE SALON","file_a"
"63","TRELA","jeanne shaheen",55167,"TRELAJ FINANCIAL LLC","file_a"
"64","BIRD DOG","mike rounds",294641,"BIRD DOG DISTRIBUTING, LLC","file_a"
"65","CHURCHILL COFFEE","roy blunt",299208,"CHURCHILL COFFEE COMPANY, LLC","file_a"
"66","A&P","joseph manchin, iii",499622,"A&P, LLC","file_a"
"67","BLACK ANGUS","James E Risch",197130,"BLACK ANGUS SEALCOATING, LLC","file_a"
"68","TWI","Thomas J Ossoff",113842,"TWI","file_a"
"69","FINISHING TOUCHES","mike braun",317043,"FINISHING TOUCHES","file_a"
"70","LINCOLN COUNTY LIVESTOCK","cindy hyde-smith",495752,"LINCOLN COUNTY LIVESTOCK COMMISSION CO., INC.","file_a"
"71","KIRKLAND","joshua d hawley",398534,"KIRKLAND","file_a"
"72","GATEWAY COMMUNITY CHURCH","james p lankford",6602,"GATEWAY COMMUNITY CHURCH OF ONSTED","file_a"
"73","FIRST BAPTIST CHURCH","james p lankford",6944,"FIRST BAPTIST CHURCH","file_a"
"74","TRINITY BAPTIST CHURCH","james p lankford",380622,"TRINITY BAPTIST CHURCH","file_a"
"75","GREENWAVE","john n kennedy",340333,"GREENWAVE TECHNOLOGY CONSULTING GROUP INC","file_a"
"76","TRELA","jeanne shaheen",295273,"TRELAINE UMBLE","file_a"
